Train Epoch: [1/15] Iters:[320/20018] gen_loss 1.0668, rec_loss 0.0276, lpips_loss 0.1943, g_loss 0.1929, disc_weight 0.4000, disc_adaptive_weight 4.3778, d_loss 0.5797, logits_real -0.1893, logits_fake -0.1930,
Train Epoch: [1/15] Iters:[330/20018] gen_loss 1.0126, rec_loss 0.0277, lpips_loss 0.1941, g_loss 0.1924, disc_weight 0.4000, disc_adaptive_weight 4.1074, d_loss 0.5747, logits_real -0.1892, logits_fake -0.1924,
Train Epoch: [1/15] Iters:[340/20018] gen_loss 1.0001, rec_loss 0.0274, lpips_loss 0.1925, g_loss 0.1915, disc_weight 0.4000, disc_adaptive_weight 4.0723, d_loss 0.5699, logits_real -0.1886, logits_fake -0.1914,
Train Epoch: [1/15] Iters:[350/20018] gen_loss 0.9812, rec_loss 0.0269, lpips_loss 0.1921, g_loss 0.1907, disc_weight 0.4000, disc_adaptive_weight 3.9977, d_loss 0.5643, logits_real -0.1880, logits_fake -0.1908,
Train Epoch: [1/15] Iters:[360/20018] gen_loss 0.9312, rec_loss 0.0269, lpips_loss 0.1908, g_loss 0.1901, disc_weight 0.4000, disc_adaptive_weight 3.7564, d_loss 0.5596, logits_real -0.1875, logits_fake -0.1902,
Train Epoch: [1/15] Iters:[370/20018] gen_loss 0.9166, rec_loss 0.0261, lpips_loss 0.1886, g_loss 0.1894, disc_weight 0.4000, disc_adaptive_weight 3.7069, d_loss 0.5549, logits_real -0.1871, logits_fake -0.1895,
Train Epoch: [1/15] Iters:[380/20018] gen_loss 0.9137, rec_loss 0.0262, lpips_loss 0.1874, g_loss 0.1883, disc_weight 0.4000, disc_adaptive_weight 3.7172, d_loss 0.5501, logits_real -0.1865, logits_fake -0.1885,
Train Epoch: [1/15] Iters:[390/20018] gen_loss 0.8835, rec_loss 0.0263, lpips_loss 0.1884, g_loss 0.1875, disc_weight 0.4000, disc_adaptive_weight 3.5678, d_loss 0.5464, logits_real -0.1862, logits_fake -0.1878,
Train Epoch: [1/15] Iters:[400/20018] gen_loss 0.8869, rec_loss 0.0261, lpips_loss 0.1860, g_loss 0.1870, disc_weight 0.4000, disc_adaptive_weight 3.6086, d_loss 0.5424, logits_real -0.1858, logits_fake -0.1872,
Train Epoch: [1/15] Iters:[410/20018] gen_loss 0.9093, rec_loss 0.0258, lpips_loss 0.1851, g_loss 0.1865, disc_weight 0.4000, disc_adaptive_weight 3.7475, d_loss 0.5388, logits_real -0.1856, logits_fake -0.1865,
Train Epoch: [1/15] Iters:[420/20018] gen_loss 0.9501, rec_loss 0.0257, lpips_loss 0.1846, g_loss 0.1860, disc_weight 0.4000, disc_adaptive_weight 3.9792, d_loss 0.5353, logits_real -0.1854, logits_fake -0.1860,
Train Epoch: [1/15] Iters:[430/20018] gen_loss 0.9416, rec_loss 0.0251, lpips_loss 0.1843, g_loss 0.1859, disc_weight 0.4000, disc_adaptive_weight 3.9392, d_loss 0.5319, logits_real -0.1852, logits_fake -0.1858,
Train Epoch: [1/15] Iters:[440/20018] gen_loss 0.9545, rec_loss 0.0252, lpips_loss 0.1845, g_loss 0.1855, disc_weight 0.4000, disc_adaptive_weight 4.0147, d_loss 0.5280, logits_real -0.1848, logits_fake -0.1854,
Train Epoch: [1/15] Iters:[450/20018] gen_loss 0.9017, rec_loss 0.0253, lpips_loss 0.1859, g_loss 0.1849, disc_weight 0.4000, disc_adaptive_weight 3.7322, d_loss 0.5251, logits_real -0.1846, logits_fake -0.1849,
Train Epoch: [1/15] Iters:[460/20018] gen_loss 0.8593, rec_loss 0.0255, lpips_loss 0.1855, g_loss 0.1847, disc_weight 0.4000, disc_adaptive_weight 3.5079, d_loss 0.5217, logits_real -0.1844, logits_fake -0.1848,
Train Epoch: [1/15] Iters:[470/20018] gen_loss 0.8384, rec_loss 0.0255, lpips_loss 0.1871, g_loss 0.1846, disc_weight 0.4000, disc_adaptive_weight 3.3886, d_loss 0.5187, logits_real -0.1842, logits_fake -0.1846,
Train Epoch: [1/15] Iters:[480/20018] gen_loss 0.8693, rec_loss 0.0254, lpips_loss 0.1872, g_loss 0.1842, disc_weight 0.4000, disc_adaptive_weight 3.5631, d_loss 0.5158, logits_real -0.1837, logits_fake -0.1842,
Train Epoch: [1/15] Iters:[490/20018] gen_loss 0.8497, rec_loss 0.0250, lpips_loss 0.1861, g_loss 0.1837, disc_weight 0.4000, disc_adaptive_weight 3.4745, d_loss 0.5130, logits_real -0.1833, logits_fake -0.1837,
Train Epoch: [1/15] Iters:[500/20018] gen_loss 0.8706, rec_loss 0.0251, lpips_loss 0.1854, g_loss 0.1836, disc_weight 0.4000, disc_adaptive_weight 3.5932, d_loss 0.5101, logits_real -0.1831, logits_fake -0.1835,
Train Epoch: [1/15] Iters:[510/20018] gen_loss 0.8771, rec_loss 0.0253, lpips_loss 0.1860, g_loss 0.1832, disc_weight 0.4000, disc_adaptive_weight 3.6323, d_loss 0.5078, logits_real -0.1827, logits_fake -0.1831,
Train Epoch: [1/15] Iters:[520/20018] gen_loss 0.8732, rec_loss 0.0253, lpips_loss 0.1844, g_loss 0.1828, disc_weight 0.4000, disc_adaptive_weight 3.6279, d_loss 0.5049, logits_real -0.1825, logits_fake -0.1828,
Train Epoch: [1/15] Iters:[530/20018] gen_loss 0.8511, rec_loss 0.0255, lpips_loss 0.1842, g_loss 0.1824, disc_weight 0.4000, disc_adaptive_weight 3.5159, d_loss 0.5023, logits_real -0.1823, logits_fake -0.1826,
Train Epoch: [1/15] Iters:[540/20018] gen_loss 0.8663, rec_loss 0.0259, lpips_loss 0.1844, g_loss 0.1824, disc_weight 0.4000, disc_adaptive_weight 3.5942, d_loss 0.5002, logits_real -0.1822, logits_fake -0.1825,
Train Epoch: [1/15] Iters:[550/20018] gen_loss 0.8693, rec_loss 0.0260, lpips_loss 0.1855, g_loss 0.1821, disc_weight 0.4000, disc_adaptive_weight 3.6097, d_loss 0.4970, logits_real -0.1822, logits_fake -0.1824,
Train Epoch: [1/15] Iters:[560/20018] gen_loss 0.8451, rec_loss 0.0258, lpips_loss 0.1864, g_loss 0.1817, disc_weight 0.4000, disc_adaptive_weight 3.4787, d_loss 0.4945, logits_real -0.1819, logits_fake -0.1820,
Train Epoch: [1/15] Iters:[570/20018] gen_loss 0.8494, rec_loss 0.0259, lpips_loss 0.1871, g_loss 0.1813, disc_weight 0.4000, disc_adaptive_weight 3.5086, d_loss 0.4918, logits_real -0.1815, logits_fake -0.1814,
Train Epoch: [1/15] Iters:[580/20018] gen_loss 0.8420, rec_loss 0.0256, lpips_loss 0.1869, g_loss 0.1810, disc_weight 0.4000, disc_adaptive_weight 3.4755, d_loss 0.4896, logits_real -0.1812, logits_fake -0.1809,
