Train Epoch: [1/10] Iters:[300/20018] gen_loss -0.6723, rec_loss 0.0237, lpips_loss 0.1769, g_loss -0.2596, disc_weight 0.4000, disc_adaptive_weight 3.3623, d_loss 0.5764, logits_real 0.2571, logits_fake 0.2593,
Train Epoch: [1/10] Iters:[310/20018] gen_loss -0.6569, rec_loss 0.0236, lpips_loss 0.1773, g_loss -0.2577, disc_weight 0.4000, disc_adaptive_weight 3.3277, d_loss 0.5707, logits_real 0.2553, logits_fake 0.2574,
Train Epoch: [1/10] Iters:[320/20018] gen_loss -0.6601, rec_loss 0.0241, lpips_loss 0.1786, g_loss -0.2559, disc_weight 0.4000, disc_adaptive_weight 3.3727, d_loss 0.5662, logits_real 0.2536, logits_fake 0.2554,
Train Epoch: [1/10] Iters:[330/20018] gen_loss -0.6510, rec_loss 0.0245, lpips_loss 0.1800, g_loss -0.2540, disc_weight 0.4000, disc_adaptive_weight 3.3731, d_loss 0.5622, logits_real 0.2517, logits_fake 0.2536,
Train Epoch: [1/10] Iters:[340/20018] gen_loss -0.6559, rec_loss 0.0244, lpips_loss 0.1795, g_loss -0.2523, disc_weight 0.4000, disc_adaptive_weight 3.4124, d_loss 0.5579, logits_real 0.2505, logits_fake 0.2519,
Train Epoch: [1/10] Iters:[350/20018] gen_loss -0.6430, rec_loss 0.0241, lpips_loss 0.1804, g_loss -0.2502, disc_weight 0.4000, disc_adaptive_weight 3.3886, d_loss 0.5526, logits_real 0.2489, logits_fake 0.2499,
Train Epoch: [1/10] Iters:[360/20018] gen_loss -0.6489, rec_loss 0.0243, lpips_loss 0.1797, g_loss -0.2484, disc_weight 0.4000, disc_adaptive_weight 3.4315, d_loss 0.5485, logits_real 0.2475, logits_fake 0.2482,
Train Epoch: [1/10] Iters:[370/20018] gen_loss -0.6608, rec_loss 0.0236, lpips_loss 0.1782, g_loss -0.2469, disc_weight 0.4000, disc_adaptive_weight 3.4935, d_loss 0.5440, logits_real 0.2459, logits_fake 0.2468,
Train Epoch: [1/10] Iters:[380/20018] gen_loss -0.6515, rec_loss 0.0239, lpips_loss 0.1771, g_loss -0.2454, disc_weight 0.4000, disc_adaptive_weight 3.4747, d_loss 0.5396, logits_real 0.2448, logits_fake 0.2456,
Train Epoch: [1/10] Iters:[390/20018] gen_loss -0.6304, rec_loss 0.0242, lpips_loss 0.1785, g_loss -0.2438, disc_weight 0.4000, disc_adaptive_weight 3.4183, d_loss 0.5359, logits_real 0.2430, logits_fake 0.2437,
Train Epoch: [1/10] Iters:[400/20018] gen_loss -0.6309, rec_loss 0.0241, lpips_loss 0.1765, g_loss -0.2429, disc_weight 0.4000, disc_adaptive_weight 3.4211, d_loss 0.5324, logits_real 0.2417, logits_fake 0.2428,
Train Epoch: [1/10] Iters:[410/20018] gen_loss -0.6854, rec_loss 0.0239, lpips_loss 0.1759, g_loss -0.2417, disc_weight 0.4000, disc_adaptive_weight 3.6615, d_loss 0.5293, logits_real 0.2403, logits_fake 0.2418,
Train Epoch: [1/10] Iters:[420/20018] gen_loss -0.7171, rec_loss 0.0238, lpips_loss 0.1757, g_loss -0.2406, disc_weight 0.4000, disc_adaptive_weight 3.8120, d_loss 0.5260, logits_real 0.2388, logits_fake 0.2406,
Train Epoch: [1/10] Iters:[430/20018] gen_loss -0.6588, rec_loss 0.0232, lpips_loss 0.1759, g_loss -0.2392, disc_weight 0.4000, disc_adaptive_weight 3.5860, d_loss 0.5227, logits_real 0.2372, logits_fake 0.2391,
Train Epoch: [1/10] Iters:[440/20018] gen_loss -0.6552, rec_loss 0.0232, lpips_loss 0.1760, g_loss -0.2379, disc_weight 0.4000, disc_adaptive_weight 3.5881, d_loss 0.5197, logits_real 0.2360, logits_fake 0.2379,
Train Epoch: [1/10] Iters:[450/20018] gen_loss -0.6602, rec_loss 0.0232, lpips_loss 0.1774, g_loss -0.2365, disc_weight 0.4000, disc_adaptive_weight 3.6346, d_loss 0.5171, logits_real 0.2345, logits_fake 0.2365,
